,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_warm_start,param_min_samples_leaf,param_max_leaf_nodes,param_max_depth,param_learning_rate,param_l2_regularization,param_early_stopping,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
35,5.0276453495025635,0.26320021562609935,0.33457012176513673,0.02748768443778967,True,25,25,8,0.1,0.4,False,"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 25, 'max_depth': 8, 'learning_rate': 0.1, 'l2_regularization': 0.4, 'early_stopping': False}",0.746625,0.7525625,0.750625,0.7453125,0.749875,0.7489999999999999,0.0026584182327090596,8
36,3.056031608581543,0.1934898092903207,0.16066546440124513,0.02576094744724,True,25,20,1,0.001,0.3,True,"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 20, 'max_depth': 1, 'learning_rate': 0.001, 'l2_regularization': 0.3, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
37,3.697215127944946,0.27631669196521735,0.252535343170166,0.03123378287795476,True,15,45,2,0.002,0.5,False,"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 2, 'learning_rate': 0.002, 'l2_regularization': 0.5, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
38,5.946608304977417,0.3569867109411302,0.4085501194000244,0.015022348442936075,True,20,20,8,0.0002,0.4,False,"{'warm_start': True, 'min_samples_leaf': 20, 'max_leaf_nodes': 20, 'max_depth': 8, 'learning_rate': 0.0002, 'l2_regularization': 0.4, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
39,4.478420543670654,0.22610028639040064,0.2868015766143799,0.030999992087868373,True,15,20,6,0.5,0.1,True,"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 20, 'max_depth': 6, 'learning_rate': 0.5, 'l2_regularization': 0.1, 'early_stopping': True}",0.77175,0.7751875,0.775875,0.7703125,0.771125,0.7728499999999999,0.002246733740343983,4
40,4.271715259552002,0.10913293513312075,0.28487091064453124,0.035440806075073085,True,10,25,3,0.005,0.1,True,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 25, 'max_depth': 3, 'learning_rate': 0.005, 'l2_regularization': 0.1, 'early_stopping': True}",0.6691875,0.668625,0.6730625,0.667,0.669625,0.6695,0.00199099535408799,26
41,3.640087366104126,0.22519016527314853,0.22460618019104003,0.027541325323562627,True,10,30,2,0.0001,0.1,False,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 30, 'max_depth': 2, 'learning_rate': 0.0001, 'l2_regularization': 0.1, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
42,3.080528736114502,0.1892993918738401,0.16145100593566894,0.02973372891872312,False,15,20,1,0.005,0.0,True,"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 20, 'max_depth': 1, 'learning_rate': 0.005, 'l2_regularization': 0.0, 'early_stopping': True}",0.5680625,0.5774375,0.571,0.5715625,0.572,0.5720125,0.003041740866674886,30
43,3.656659984588623,0.15931195537214005,0.23953404426574706,0.03834079630576555,False,10,25,2,0.01,0.3,False,"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 25, 'max_depth': 2, 'learning_rate': 0.01, 'l2_regularization': 0.3, 'early_stopping': False}",0.6858125,0.67425,0.68,0.6839375,0.6796875,0.6807375,0.003993236469331613,21
44,5.586734485626221,0.278118007468786,0.3565195083618164,0.03557412240041023,True,30,35,10,0.1,0.5,False,"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 35, 'max_depth': 10, 'learning_rate': 0.1, 'l2_regularization': 0.5, 'early_stopping': False}",0.7601875,0.76525,0.762,0.758875,0.761375,0.7615375,0.0021416990918427374,5
45,4.974785280227661,0.2871715613554785,0.3212006092071533,0.027447069379015983,False,20,45,4,0.02,0.0,False,"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 45, 'max_depth': 4, 'learning_rate': 0.02, 'l2_regularization': 0.0, 'early_stopping': False}",0.7096875,0.7141875,0.7124375,0.7119375,0.712375,0.712125,0.0014415703243338303,19
46,4.748077774047852,0.28522432509389994,0.3550910472869873,0.04256880792591296,True,25,20,5,0.1,0.4,True,"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 20, 'max_depth': 5, 'learning_rate': 0.1, 'l2_regularization': 0.4, 'early_stopping': True}",0.7349375,0.7386875,0.7390625,0.7355625,0.7379375,0.7372375000000001,0.0016744402049640292,12
47,2.86944694519043,0.18113016756920167,0.1757878303527832,0.028098125597670123,True,30,25,1,0.2,0.3,False,"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 25, 'max_depth': 1, 'learning_rate': 0.2, 'l2_regularization': 0.3, 'early_stopping': False}",0.678375,0.6785,0.68075,0.6771875,0.6790625,0.6787750000000001,0.001160953272100109,22
48,6.8317773818969725,0.2635985459685662,0.4562072277069092,0.03129552181072715,True,10,30,9,0.01,0.0,False,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 30, 'max_depth': 9, 'learning_rate': 0.01, 'l2_regularization': 0.0, 'early_stopping': False}",0.71375,0.7184375,0.71775,0.7144375,0.7174375,0.7163625,0.001892996962490955,17
49,4.310333204269409,0.1540511965348263,0.2977097511291504,0.034501463169316564,True,25,45,3,0.001,0.2,True,"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 45, 'max_depth': 3, 'learning_rate': 0.001, 'l2_regularization': 0.2, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
