,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_warm_start,param_min_samples_leaf,param_max_leaf_nodes,param_max_depth,param_learning_rate,param_l2_regularization,param_early_stopping,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,19,6.960953855514527,0.4155600396976293,0.4605109691619873,0.0299294180530526,True,10,40,8,0.001,0.1,True,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 40, 'max_depth': 8, 'learning_rate': 0.001, 'l2_regularization': 0.1, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
17,17,4.154973745346069,0.2626326349289829,0.2596863269805908,0.0099559472645298,False,15,45,3,0.001,0.0,True,"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 3, 'learning_rate': 0.001, 'l2_regularization': 0.0, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
15,15,4.77446346282959,0.3197081794461846,0.3181670665740966,0.0279130969362296,True,10,25,4,0.0005,0.1,False,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 25, 'max_depth': 4, 'learning_rate': 0.0005, 'l2_regularization': 0.1, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
13,13,6.744268846511841,0.3527567580498914,0.4356806755065918,0.0032085251211045,True,30,35,8,0.0005,0.0,True,"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 35, 'max_depth': 8, 'learning_rate': 0.0005, 'l2_regularization': 0.0, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
11,11,4.250017929077148,0.3762223318033264,0.2730605602264404,0.0124919977053971,True,15,20,3,0.0001,0.3,True,"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 20, 'max_depth': 3, 'learning_rate': 0.0001, 'l2_regularization': 0.3, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
10,10,3.019011306762695,0.1873046956351607,0.1575055599212646,0.0195094836594173,False,30,45,1,0.0005,0.5,True,"{'warm_start': False, 'min_samples_leaf': 30, 'max_leaf_nodes': 45, 'max_depth': 1, 'learning_rate': 0.0005, 'l2_regularization': 0.5, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
6,6,4.10450930595398,0.1689536966917627,0.2961201667785644,0.0506470183775459,True,10,20,3,0.0001,0.4,True,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 20, 'max_depth': 3, 'learning_rate': 0.0001, 'l2_regularization': 0.4, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
3,3,5.490003776550293,0.3264461779595135,0.3550611972808838,0.0087413238855673,False,30,25,5,0.0002,0.5,False,"{'warm_start': False, 'min_samples_leaf': 30, 'max_leaf_nodes': 25, 'max_depth': 5, 'learning_rate': 0.0002, 'l2_regularization': 0.5, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
34,34,3.751952600479126,0.2254055420795414,0.2382530212402343,0.0385398303034296,False,10,35,2,0.001,0.1,True,"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 35, 'max_depth': 2, 'learning_rate': 0.001, 'l2_regularization': 0.1, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
49,49,4.310333204269409,0.1540511965348263,0.2977097511291504,0.0345014631693165,True,25,45,3,0.001,0.2,True,"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 45, 'max_depth': 3, 'learning_rate': 0.001, 'l2_regularization': 0.2, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
